Omega,switch_rate,mean_sigma_z_full,mean_sigma_z_effective,stationary_trace_distance,relative_spectral_distance,zero_frequency_spectrum_ratio,slowest_visible_decay_rate,sigma_full,sigma_hidden
0.15,0.3548133892335753,-0.4794841728240945,-0.3979380749992774,0.04391501143295815,0.15969699873859008,1.2045586881980919,0.7096267784671502,0.049653121152386195,0.0441725009647874
0.15,0.4216965034285822,-0.47529348702677304,-0.3979380749992774,0.04144746417939809,0.14751217754405502,1.1796169956493237,0.8433930068571638,0.05409688442708288,0.04879685490383324
0.15,0.501187233627272,-0.47082137571416416,-0.3979380749992774,0.038860715451767266,0.1357521510761322,1.15902215236173,0.8824467611447961,0.05883878462225464,0.05371750433162256
0.15,0.5956621435290104,-0.46611741765411896,-0.3979380749992774,0.03618421402099545,0.12445101942366292,1.1418631080225712,0.9111720676067355,0.063826236209472,0.058879103765708506
0.15,0.707945784384138,-0.4612438955345591,-0.3979380749992774,0.033452252933644074,0.11364150799340612,1.127361587713896,0.9387520318501466,0.06899319899766598,0.06421311484119878
0.15,0.8413951416451948,-0.45627275308911436,-0.3979380749992774,0.030702401657681067,0.10335050136902617,1.1148718430269222,0.9646186757535463,0.07426340493362991,0.06964117238041698
0.15,1.0,-0.45128141327687393,-0.3979380749992774,0.027973533381408743,0.09359703126545792,1.1038793726318057,0.9883665689929024,0.07955479068178095,0.07507960950686542
0.15,1.1885022274370176,-0.4463479620870949,-0.3979380749992774,0.02530365645936611,0.08439273367986033,1.0939953634201136,1.0097680024453182,0.08478460124330595,0.08044460018522984
0.15,1.412537544622754,-0.44154632445875663,-0.3979380749992774,0.022727806949669447,0.07574398709175698,1.0849452329940081,1.0287569302182498,0.08987450089193069,0.08565725803411135
0.15,1.6788040181225607,-0.43694204489110544,-0.3979380749992774,0.020276254269718248,0.06765447579968342,1.0765515586716397,1.045394044926681,0.09475504259755045,0.09064805263716766
0.15,1.9952623149688788,-0.4325891443083923,-0.3979380749992774,0.01797321422051356,0.060126991695093106,1.068713246288077,1.0598262610783205,0.09936899659762388,0.09536005817108494
0.15,2.371373705661655,-0.428528303321419,-0.3979380749992774,0.01583617006315951,0.05316381317002964,1.0613835984105806,1.0722499759699817,0.10367327338565047,0.0997507843256227
0.15,2.818382931264452,-0.4247863844962918,-0.3979380749992774,0.01387579965392639,0.04676568729759191,1.0545498951875105,1.0828825067449852,0.10763942801026191,0.10379258892321323
0.15,3.3496543915782757,-0.42137711019714713,-0.3979380749992774,0.01209642045731921,0.040929973991870754,1.0482164143635984,1.091942368551999,0.11125294021517207,0.1074718756268746
0.15,3.981071705534969,-0.4183025919553591,-0.3979380749992774,0.010496810679541113,0.03564871380405881,1.0423918502649028,1.0996370925852228,0.1145115926633693,0.1107874039334202
0.15,4.731512589614803,-0.4155553681054297,-0.3979380749992774,0.009071247531774768,0.030907266303119768,1.0370811808762805,1.106156660811214,0.11742331096747477,0.11374807680963898
0.15,5.623413251903491,-0.41312063309500213,-0.3979380749992774,0.007810616405868916,0.026683868455931865,1.0322813839642933,1.1116707437060231,0.1200038009461501,0.11637054067994018
0.15,6.683439175686142,-0.41097840872014796,-0.3979380749992774,0.006703476083408383,0.022950140517705123,1.0279800761233882,1.1163283132262687,0.1222742476770235,0.11867686026962156
0.15,7.943282347242813,-0.40910548902932486,-0.3979380749992774,0.005737003295194765,0.019672331266153673,1.0241560946048436,1.120258618336076,0.12425925456321087,0.12069244390429215
0.15,9.440608762859226,-0.40747706768900627,-0.3979380749992774,0.004897776089607293,0.016812985264829567,1.0207811652532583,1.1235728548433308,0.1259851189952817,0.1224443132271334
0.15,11.220184543019629,-0.40606801843808055,-0.3979380749992774,0.004172384456214894,0.014332716829862447,1.0178220049515467,1.1263661137030063,0.1274784756825858,0.12395974609158347
0.15,13.33521432163324,-0.4048538423041075,-0.3979380749992774,0.0035478767612960307,0.012191846182589528,1.0152424223883352,1.1287193635200405,0.12876529312878468,0.12526527621949837
0.15,15.848931924611142,-0.4038113207417243,-0.3979380749992774,0.003012062343207501,0.010351748849550044,1.0130051657357872,1.130701333645825,0.1298701817314161,0.12638600666424624
0.15,18.83649089489798,-0.4029189254087358,-0.3979380749992774,0.002553695800768379,0.008775857995718565,1.011073403988782,1.1323702326823981,0.1308159597504234,0.12734518227946437
0.15,22.38721138568338,-0.4021570371570573,-0.3979380749992774,0.002162569103191514,0.0074303250513123925,1.0094118203991127,1.1337752778405283,0.13162342142473976,0.12816396475195704
0.15,26.607250597988084,-0.40150802279109366,-0.3979380749992774,0.0018295354727014572,0.0062843833728456365,1.0079873497607656,1.134958033623444,0.13231125578517242,0.12886135827505266
0.15,31.622776601683793,-0.4009562111712147,-0.3979380749992774,0.0015464854437112008,0.005310476826154493,1.006769616748215,1.135953570512217,0.13289607210557042,0.1294542415146943
0.15,37.58374042884443,-0.400487802324042,-0.3979380749992774,0.0013062915448092825,0.004484216911823231,1.0057311397859898,1.1367914600678333,0.13339249632393108,0.12995747003854552
0.15,44.66835921509626,-0.400090735585196,-0.3979380749992774,0.0011027342629449535,0.003784224981567441,1.0048473616735851,1.137496624864302,0.13381331085737647,0.13038402155761314
0.15,53.08844442309879,-0.39975453607943645,-0.3979380749992774,0.0009304186328884716,0.0031919052705609062,1.0040965597739429,1.138090061592771,0.13416961735679558,0.1307451635084288
0.15,63.0957344480193,-0.39947015328143104,-0.3979380749992774,0.0007846880608877607,0.0026911831406732254,1.0034596784165486,1.1385894545287536,0.1344710078403396,0.13105062843221998
0.15,74.98942093324558,-0.39922980100657,-0.3979380749992774,0.0006615398385276428,0.002268232828733865,1.0029201162344814,1.139009694919259,0.13472573430070026,0.13130878728360118
0.15,89.12509381337459,-0.39902680483927755,-0.3979380749992774,0.0005575451707416053,0.0019112108030301,1.0024634924181028,1.139363320056927,0.1349408704221595,0.13152681435260977
0.15,105.92537251772876,-0.3988554605494283,-0.3979380749992774,0.0004697753466599003,0.0016100046119601522,1.002077408687027,1.1396608840485887,0.13512246164654362,0.13171084009098857
0.15,125.89254117941663,-0.3987109052998048,-0.3979380749992774,0.0003957348357148141,0.001356002622216764,1.0017512181571233,1.1399112706449206,0.1352756616788945,0.13186608998508148
0.15,149.6235656094433,-0.398589002247838,-0.3979380749992774,0.00033330151415868854,0.0011418869622640013,1.0014758080489723,1.1401219570224912,0.13540485479471273,0.13199700888630983
0.15,177.82794100389228,-0.3984862383551798,-0.3979380749992774,0.0002806738506179894,0.0009614499776289957,1.0012434001119925,1.140299236103004,0.13551376414723756,0.13210737104287945
0.15,211.34890398366477,-0.39839963472802264,-0.3979380749992774,0.00023632464876411176,0.0008094332731968968,1.0010473704823155,1.140448403860776,0.135605546792979,0.13220037659182787
0.15,251.18864315095772,-0.3983266685321028,-0.3979380749992774,0.0001989608175734004,0.0006813877273400432,1.0008820892420904,1.1405739170894673,0.13568287644919713,0.13227873556133882
0.15,298.53826189179574,-0.3982652053937592,-0.3979380749992774,0.00016748858292492153,0.0005735525263497995,1.0007427790105505,1.1406795262575862,0.13574801513740184,0.13234474056940915
0.15,354.8133892335753,-0.3982134411629603,-0.3979380749992774,0.00014098354424134556,0.0004827511656411712,1.0006253913447225,1.1407683873687107,0.1358028749044198,0.13240032943818433
